"Rowid_","VALUE_","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
,272,59,59000000.000000,38.948299,38.948299,0.000000,38.948299,0.000000,2297.949707
,273,60,60000000.000000,151.707733,151.707733,0.000000,151.707733,0.000000,9102.463867
,274,59,59000000.000000,104.376358,104.376358,0.000000,104.376358,0.000000,6158.205078
,275,59,59000000.000000,52.323726,52.323726,0.000000,52.323726,0.000000,3087.099853
,276,58,58000000.000000,85.911544,85.911544,0.000000,85.911544,0.000000,4982.869628
,277,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,278,56,56000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4210.774414
,279,59,59000000.000000,17.723714,17.723714,0.000000,17.723714,0.000000,1045.699218
,280,58,58000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,692.984008
,281,58,58000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,692.984008
,282,58,58000000.000000,9.841868,9.841868,0.000000,9.841868,0.000000,570.828369
,283,58,58000000.000000,27.746465,27.746465,0.000000,27.746465,0.000000,1609.295043
,284,60,60000000.000000,41.596946,41.596946,0.000000,41.596946,0.000000,2495.816894
,285,58,58000000.000000,78.761848,78.761848,0.000000,78.761848,0.000000,4568.187011
,286,59,59000000.000000,96.053245,96.053245,0.000000,96.053245,0.000000,5667.141601
,287,58,58000000.000000,76.028930,76.028930,0.000000,76.028930,0.000000,4409.677734
,288,58,58000000.000000,84.855407,84.855407,0.000000,84.855407,0.000000,4921.613769
,289,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,290,59,59000000.000000,52.799121,52.799121,0.000000,52.799121,0.000000,3115.148193
,291,58,58000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,692.984008
,292,59,59000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,704.932006
,293,60,60000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,716.880004
,294,57,57000000.000000,3.804290,3.804290,0.000000,3.804290,0.000000,216.844528
,295,63,63000000.000000,39.140232,39.140232,0.000000,39.140232,0.000000,2465.834716
,296,63,63000000.000000,59.591243,59.591243,0.000000,59.591243,0.000000,3754.248291
,297,62,62000000.000000,60.112716,60.112716,0.000000,60.112716,0.000000,3726.988525
,298,63,63000000.000000,47.427295,47.427295,0.000000,47.427295,0.000000,2987.919677
,299,64,64000000.000000,88.515106,88.515106,0.000000,88.515106,0.000000,5664.966796
,300,62,62000000.000000,87.203056,87.203056,0.000000,87.203056,0.000000,5406.589355
,301,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,302,60,60000000.000000,17.496395,17.496395,0.000000,17.496395,0.000000,1049.783691
,303,59,59000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,704.932006
,304,58,58000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,692.984008
,305,58,58000000.000000,6.612465,6.612465,0.000000,6.612465,0.000000,383.523010
,306,58,58000000.000000,3.804290,3.804290,0.000000,3.804290,0.000000,220.648818
,307,64,64000000.000000,40.314243,40.314243,0.000000,40.314243,0.000000,2580.111572
,308,65,65000000.000000,88.427391,88.427391,0.000000,88.427391,0.000000,5747.780273
,309,64,64000000.000000,51.886230,51.886230,0.000000,51.886230,0.000000,3320.718750
,310,63,63000000.000000,32.976032,32.976032,0.000000,32.976032,0.000000,2077.489990
,311,62,62000000.000000,121.729759,121.729759,0.000000,121.729759,0.000000,7547.245117
,312,64,64000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4812.313476
,313,62,62000000.000000,32.676441,32.676441,0.000000,32.676441,0.000000,2025.939331
,314,62,62000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,740.776000
,315,63,63000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,752.723999
,316,64,64000000.000000,11.693509,11.693509,0.000000,11.693509,0.000000,748.384582
,317,64,64000000.000000,3.804290,3.804290,0.000000,3.804290,0.000000,243.474563
,318,58,58000000.000000,59.719570,59.719570,0.000000,59.719570,0.000000,3463.735107
,319,57,57000000.000000,59.011722,59.011722,0.000000,59.011722,0.000000,3363.668212
,320,58,58000000.000000,39.584815,39.584815,0.000000,39.584815,0.000000,2295.919433
,321,59,59000000.000000,73.760391,73.760391,0.000000,73.760391,0.000000,4351.863281
,322,62,62000000.000000,121.572120,121.572120,0.000000,121.572120,0.000000,7537.471679
